Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2018-05-30,44.62107467651367,151.39627075195312,91.2128677368164,344.7488098144531,135.30014038085938,129.13131713867188,36.01021194458008,97.46749877929688,96.91519927978516,,200.56944274902344,162.6156463623047,128.0900421142578,103.42083740234375,47.82557678222656,103.50799560546875,91.39179992675781,35.69242858886719,140.67369079589844,157.6796417236328,47.557281494140625,93.02776336669922,67.83206176757812,64.4136962890625,113.31810760498047,224.13865661621094,125.61029815673828,36.291812896728516,49.51253128051758,25.428754806518555
2018-05-31,44.47114181518555,150.87548828125,90.57706451416016,338.9450378417969,132.2105255126953,129.16128540039062,35.892555236816406,96.79779052734375,96.42083740234375,,197.69866943359375,162.14625549316406,125.93592834472656,102.47087860107422,47.413291931152344,102.35285186767578,90.26155090332031,35.5848388671875,139.10020446777344,156.5288543701172,47.405967712402344,92.92434692382812,67.42823791503906,62.93429183959961,111.88174438476562,220.99996948242188,125.68724822998047,35.59734344482422,48.61640930175781,24.95113182067871
2018-06-01,45.273136138916016,154.193359375,90.53099822998047,343.33392333984375,133.61170959472656,130.3497314453125,36.690914154052734,96.44733428955078,96.31420135498047,,199.86053466796875,162.8415985107422,127.7920913696289,102.93497467041016,49.028079986572266,103.75613403320312,91.43397521972656,35.68415832519531,139.24020385742188,158.4018096923828,48.2261962890625,94.75764465332031,68.5206527709961,63.17511749267578,112.55203247070312,222.6836700439453,125.81222534179688,35.70188522338867,48.98264694213867,25.087167739868164
2018-06-04,45.651512145996094,155.7640838623047,91.63671875,347.1934814453125,132.72402954101562,132.47694396972656,36.623695373535156,95.20914459228516,97.16722106933594,,201.20838928222656,166.32704162597656,127.83463287353516,103.72538757324219,48.81336212158203,104.34651947021484,91.47615051269531,35.99034881591797,140.16757202148438,159.56845092773438,49.38885498046875,95.58499145507812,69.52831268310547,63.80302429199219,112.9263916015625,223.8549346923828,127.9467544555664,35.70935821533203,49.32551193237305,25.82173728942871
2018-06-05,46.00371551513672,152.6478271484375,91.50773620605469,346.58709716796875,133.16781616210938,133.9450225830078,36.699310302734375,95.57515716552734,96.87641906738281,,199.8517608642578,166.83114624023438,127.60472106933594,104.20398712158203,48.55567932128906,103.94438171386719,90.96160888671875,35.675872802734375,139.52012634277344,159.6795654296875,48.887168884277344,96.0738525390625,69.73548889160156,63.62238311767578,112.44758605957031,223.67196655273438,128.4178924560547,35.82136917114258,49.00602722167969,25.579898834228516
2018-06-06,46.16317367553711,154.17660522460938,93.03730773925781,357.6170654296875,136.2139892578125,135.3731689453125,37.19514465332031,96.08133697509766,98.7860336303711,,203.25643920898438,168.2653350830078,128.56687927246094,104.9364013671875,48.98514175415039,105.06526947021484,93.08721923828125,35.96552658081055,142.0571746826172,161.79063415527344,49.31718444824219,96.35588836669922,70.39472961425781,63.94921875,112.0993881225586,227.53358459472656,131.0331573486328,36.149925231933594,49.2086296081543,25.561763763427734
2018-06-07,46.0394172668457,153.96656799316406,93.50724792480469,354.7007141113281,136.0225067138672,132.7366180419922,36.68252182006836,98.86922454833984,99.32886505126953,,204.32424926757812,170.50779724121094,129.49490356445312,105.40776062011719,47.99737548828125,105.52732849121094,93.45836639404297,35.948970794677734,148.2685546875,162.7509765625,49.36497116088867,94.8422622680664,70.40412139892578,65.1619644165039,113.64949798583984,227.83554077148438,128.68707275390625,36.59798049926758,49.55928039550781,25.679664611816406
2018-06-08,45.620574951171875,154.80648803710938,93.06495666503906,355.63433837890625,135.17831420898438,133.35580444335938,36.53965377807617,98.46429443359375,100.79257202148438,,204.27174377441406,172.38523864746094,129.29908752441406,105.97335052490234,47.28444290161133,106.1519546508789,93.71983337402344,36.37101364135742,147.76992797851562,163.95726013183594,49.83480453491211,95.54737091064453,70.5359878540039,66.38334655761719,115.00697326660156,229.39114379882812,129.552490234375,36.72492599487305,49.40343475341797,25.501304626464844
2018-06-11,45.50872802734375,155.06692504882812,93.24925231933594,357.02032470703125,136.03121948242188,133.80520629882812,36.716121673583984,99.33645629882812,101.1512222290039,,204.88441467285156,173.5238494873047,129.30760192871094,106.29242706298828,46.829219818115234,104.95405578613281,93.4836654663086,36.519981384277344,145.65280151367188,162.79063415527344,49.635719299316406,95.0020980834961,70.24402618408203,66.68438720703125,114.28881072998047,232.22789001464844,128.7544403076172,36.814537048339844,49.917728424072266,25.48316764831543
2018-06-12,45.75860595703125,155.4532928466797,92.81616973876953,356.7123107910156,137.0669403076172,136.0822296142578,36.92621994018555,98.96268463134766,101.13184356689453,,203.6065216064453,174.9754180908203,129.63966369628906,106.5027084350586,47.086891174316406,104.85136413574219,92.94383239746094,36.7516975402832,145.86277770996094,162.63189697265625,49.72332000732422,95.24651336669922,69.96150207519531,66.43496704101562,113.48310852050781,232.044921875,129.6678009033203,36.448631286621094,49.63720703125,25.422712326049805
